add-none,1,10,20,106088,5304,0
add-none,2,10,40,91942,2298,0
add-none,4,10,80,129601,1620,0
add-none,8,10,160,294163,1838,0
add-none,12,10,240,438027,1825,0
add-none,1,20,40,75729,1893,0
add-none,2,20,80,117904,1473,0
add-none,4,20,160,139147,869,0
add-none,8,20,320,259274,810,0
add-none,12,20,480,435746,907,0
add-none,1,40,80,87488,1093,0
add-none,2,40,160,100347,627,0
add-none,4,40,320,140536,439,0
add-none,8,40,640,314038,490,0
add-none,12,40,960,435509,453,0
add-none,1,80,160,85257,532,0
add-none,2,80,320,114975,359,0
add-none,4,80,640,188590,294,0
add-none,8,80,1280,262758,205,0
add-none,12,80,1920,409068,213,0
add-none,1,100,200,73295,366,0
add-none,2,100,400,112587,281,0
add-none,4,100,800,139208,174,0
add-none,8,100,1600,277479,173,39
add-none,12,100,2400,375457,156,0
add-none,1,1000,2000,89120,44,0
add-none,2,1000,4000,132924,33,161
add-none,4,1000,8000,250289,31,537
add-none,8,1000,16000,593734,37,241
add-none,12,1000,24000,989919,41,-298
add-none,1,10000,20000,277357,13,0
add-none,2,10000,40000,900840,22,-4440
add-none,4,10000,80000,2444523,30,-1714
add-none,8,10000,160000,5594435,34,-1033
add-none,12,10000,240000,9106887,37,-7678
add-none,1,100000,200000,1778789,8,0
add-none,2,100000,400000,8585456,21,-6581
add-none,4,100000,800000,21164733,26,-22710
add-none,8,100000,1600000,58679200,36,-13463
add-none,12,100000,2400000,97136607,40,-46958
add-yield-none,1,10,20,98972,4948,0
add-yield-none,2,10,40,131147,3278,0
add-yield-none,4,10,80,168179,2102,0
add-yield-none,8,10,160,275243,1720,6
add-yield-none,12,10,240,422945,1762,10
add-yield-none,1,20,40,112959,2823,0
add-yield-none,2,20,80,125418,1567,14
add-yield-none,4,20,160,169140,1057,2
add-yield-none,8,20,320,329980,1031,97
add-yield-none,12,20,480,457100,952,100
add-yield-none,1,40,80,152215,1902,0
add-yield-none,2,40,160,192704,1204,8
add-yield-none,4,40,320,230954,721,56
add-yield-none,8,40,640,298376,466,82
add-yield-none,12,40,960,421019,438,54
add-yield-none,1,80,160,211854,1324,0
add-yield-none,2,80,320,208244,650,17
add-yield-none,4,80,640,294071,459,52
add-yield-none,8,80,1280,408824,319,83
add-yield-none,12,80,1920,515537,268,61
add-yield-none,1,100,200,222375,1111,0
add-yield-none,2,100,400,282976,707,14
