list-il-s,4,4,1,48,261482,5447
list-dl-m,4,4,1,48,156457,3259
list-dl-s,4,4,1,48,150687,3139
list-i-m,8,4,1,96,301056,3136
list-i-s,8,4,1,96,244907,2551
list-d-m,8,4,1,96,265816,2768
list-d-s,8,4,1,96,244908,2551
list-il-m,8,4,1,96,354568,3693
list-il-s,8,4,1,96,313848,3269
list-dl-m,8,4,1,96,396483,4130
list-dl-s,8,4,1,96,373016,3885
list-i-m,12,4,1,144,411537,2857
list-i-s,12,4,1,144,391890,2721
list-d-m,12,4,1,144,372521,2586
list-d-s,12,4,1,144,362507,2517
list-il-m,12,4,1,144,602961,4187
list-il-s,12,4,1,144,397528,2760
list-dl-m,12,4,1,144,381718,2650
list-dl-s,12,4,1,144,394104,2736
list-i-m,2,8,1,48,153102,3189
list-i-s,2,8,1,48,125275,2609
list-d-m,2,8,1,48,130204,2712
list-d-s,2,8,1,48,89408,1862
list-il-m,2,8,1,48,151030,3146
list-il-s,2,8,1,48,207138,4315
list-dl-m,2,8,1,48,146884,3060
list-dl-s,2,8,1,48,183523,3823
list-i-m,4,8,1,96,176640,1840
list-i-s,4,8,1,96,187303,1951
list-d-m,4,8,1,96,148785,1549
list-d-s,4,8,1,96,148010,1541
list-il-m,4,8,1,96,398268,4148
list-il-s,4,8,1,96,408043,4250
list-dl-m,4,8,1,96,416398,4337
list-dl-s,4,8,1,96,359506,3744
list-i-m,8,8,1,192,256058,1333
list-i-s,8,8,1,192,419779,2186
list-d-m,8,8,1,192,417756,2175
list-d-s,8,8,1,192,249630,1300
list-il-m,8,8,1,192,885477,4611
list-il-s,8,8,1,192,1421068,7401
list-dl-m,8,8,1,192,1011359,5267
list-dl-s,8,8,1,192,877305,4569
list-i-m,12,8,1,288,487698,1693
list-i-s,12,8,1,288,330902,1148
list-d-m,12,8,1,288,346241,1202
list-d-s,12,8,1,288,363615,1262
list-il-m,12,8,1,288,1821541,6324
list-il-s,12,8,1,288,2973996,10326
list-dl-m,12,8,1,288,1583888,5499
list-dl-s,12,8,1,288,2003915,6958
list-i-m,2,16,1,96,200984,2093
list-i-s,2,16,1,96,170603,1777
list-d-m,2,16,1,96,144912,1509
list-d-s,2,16,1,96,134228,1398
list-il-m,2,16,1,96,313692,3267
list-il-s,2,16,1,96,389771,4060
list-dl-m,2,16,1,96,325502,3390
list-dl-s,2,16,1,96,355746,3705
list-i-m,4,16,1,192,244821,1275
list-i-s,4,16,1,192,421341,2194
list-d-m,4,16,1,192,214222,1115
list-d-s,4,16,1,192,241004,1255
list-il-m,4,16,1,192,1118314,5824
